100|Paras|par.gan.rt24@dypatil.edu
101|Amit|amit.shah@dypatil.edu
102|Rohit|rohit.patil@dypatil.edu
103|Sneha|sneha.joshi@dypatil.edu
104|Neha|neha.kulkarni@dypatil.edu
105|Rahul|rahul.more@dypatil.edu
106|Priya|priya.deshmukh@dypatil.edu
107|Kunal|kunal.shinde@dypatil.edu
108|Pooja|pooja.pawar@dypatil.edu
109|Sagar|sagar.sawant@dypatil.edu
110|Anjali|anjali.patil@dypatil.edu
111|Vikas|vikas.chavan@dypatil.edu
112|Meena|meena.kadam@dypatil.edu
113|Ajay|ajay.jadhav@dypatil.edu
114|Riya|riya.salunkhe@dypatil.edu
115|Nikhil|nikhil.mane@dypatil.edu
116|Kiran|kiran.thorat@dypatil.edu
117|Deepak|deepak.bhosale@dypatil.edu
118|Shweta|shweta.patil@dypatil.edu
119|Manoj|manoj.gawade@dypatil.edu
120|Aarti|aarti.patil@dypatil.edu
121|Tejas|tejas.deshai@dypatil.edu
122|Komal|komal.jagtap@dypatil.edu
123|Yogesh|yogesh.kamble@dypatil.edu
124|Ramesh|ramesh.pawar@dypatil.edu
125|Sunita|sunita.more@dypatil.edu
126|Swapnil|swapnil.joshi@dypatil.edu
127|Bhavna|bhavna.patil@dypatil.edu
128|Akash|akash.shinde@dypatil.edu
129|Trupti|trupti.chavan@dypatil.edu
130|Ganesh|ganesh.kadam@dypatil.edu
131|Seema|seema.pawar@dypatil.edu
132|Harsh|harsh.mane@dypatil.edu
133|Divya|divya.jadhav@dypatil.edu
134|Omkar|omkar.sawant@dypatil.edu
135|Pallavi|pallavi.bhosale@dypatil.edu
136|Siddharth|siddharth.kamble@dypatil.edu
137|Varsha|varsha.thorat@dypatil.edu
138|Amol|amol.patil@dypatil.edu
139|Neelam|neelam.more@dypatil.edu
140|Pratik|pratik.jagtap@dypatil.edu
141|Sonal|sonal.pawar@dypatil.edu
142|Tushar|tushar.kadam@dypatil.edu
143|Reshma|reshma.shinde@dypatil.edu
144|Nitin|nitin.chavan@dypatil.edu
145|Madhuri|madhuri.mane@dypatil.edu
146|Sanket|sanket.joshi@dypatil.edu
147|Kavita|kavita.patil@dypatil.edu
148|Abhishek|abhishek.sawant@dypatil.edu
149|Jyoti|jyoti.kamble@dypatil.edu
150|Rohan|rohan.thorat@dypatil.edu
151|Priti|priti.pawar@dypatil.edu
